venueId,venueName,typeGuess,layoutStatus,capacityStatus,hasOfficialSite,siteUrl,address,sourceLiveUuids,sourceSetlistIds,neededFields
venue_mao_livehouse,MAO livehouse,live_house,needs_verification,needs_verification,yes,http://mao-music.com/,"308 Chongqing Nan Lu, Beijing, 中国",019e8284-6ef0-7b6b-9a0e-18c7b62839c8,live_item_019e8284-9a1c-7fe1-982e-0ccb2ec4e42e,layoutStatus|capacity|dimensions|floors|stage
venue_modernsky_lab,Modernsky Lab,live_house,needs_verification,needs_verification,no,,"中国 Yunnan, Kunming, Xishan, 杨家路 邮政编码: 650228",019e8284-7266-7fd4-94bb-b58bf6cef96b,live_item_019e8284-a8c0-77d1-be32-c1ab1b630350,layoutStatus|capacity|dimensions|floors|stage|officialSite
venue_musinsa_garage,musinsa garage,live_house,needs_verification,needs_verification,yes,https://www.musinsagarage.com/,"３２ Jandari-ro, Mapo-gu, Seoul, 韓国",019e8284-825f-70e6-a02e-a13ba8fa9c23,live_item_019e8284-d84b-78d4-a049-b704738b3b83,layoutStatus|capacity|dimensions|floors|stage
venue_nagano_club_junk_box,NAGANO CLUB JUNK BOX,live_house,needs_verification,needs_verification,yes,http://www.junkbox.co.jp/nagano/sp/info.html,長野県長野市南石堂町1423,019e8284-9148-7f4e-b33a-0a731e8b057e,live_item_019e8284-ef25-7237-a199-1ebc13374624,layoutStatus|capacity|dimensions|floors|stage
venue_nubond_live_house,NUBOND LIVE HOUSE,live_house,needs_verification,needs_verification,no,,,019e8284-825f-70e6-a02e-a13ba8fa9c23,live_item_019e8284-d643-71d2-aceb-15d61dba4622,layoutStatus|capacity|dimensions|floors|stage|officialSite
venue_portal,PORTAL,unknown,needs_verification,needs_verification,no,,,019e8284-88b1-79fe-846b-112b2ad73457,live_item_019e8284-e002-701d-a4b3-25a4a95a582b,layoutStatus|capacity|dimensions|floors|stage|officialSite
venue_reny_limited,ReNY limited,live_house,needs_verification,needs_verification,yes,https://ruido.org/nagoya_reny/,〒460-0008 愛知県名古屋市中区栄３丁目１５−２０ B1・B2 エンゼルビル,019e8284-7266-7fd4-94bb-b58bf6cef96b|019e8284-7468-7f47-be00-07706aa1fbb7,live_item_019e8284-a735-740d-8851-826e4a1bc770|live_item_019e8284-ac60-7813-98eb-70bbaa71b61a,layoutStatus|capacity|dimensions|floors|stage
venue_seattle_convention_center,Seattle Convention Center,exhibition,needs_verification,needs_verification,yes,https://seattleconventioncenter.com/,"705 Pike St, Seattle, WA 98101 アメリカ合衆国",019e8284-8d78-79c0-9801-bcfa308eca6c,live_item_019e8284-e221-77bc-aaa9-1d70e433ad82,layoutStatus|capacity|dimensions|floors|stage
venue_spotify_o_east,Spotify O-EAST,live_house,needs_verification,needs_verification,yes,https://shibuya-o.com/east/?utm_source=business-profile&utm_medium=listing,〒150-0043 東京都渋谷区道玄坂２丁目１４−８,019e8284-82bf-7279-90da-bbe763c75e71,live_item_019e8284-d90e-715d-8ca3-5bb5c3855258,layoutStatus|capacity|dimensions|floors|stage
venue_t_o_p_s_bittshall,T.O.P.S BittsHALL,hall,needs_verification,needs_verification,yes,https://www.oita-tops.com/bittshall,〒870-0003 大分県大分市生石５丁目３−７８３,019e8284-8137-72c8-a205-53a93aee8b1c,live_item_019e8284-ca4e-748b-99f9-2e91d44a5dbe,layoutStatus|capacity|dimensions|floors|stage
venue_tango_live,Tango live,live_house,needs_verification,needs_verification,no,,,019e8284-7266-7fd4-94bb-b58bf6cef96b,live_item_019e8284-a943-774f-8ea1-89d72f2bd5c1,layoutStatus|capacity|dimensions|floors|stage|officialSite
venue_tobacco_dock,Tobacco Dock,exhibition,needs_verification,needs_verification,no,,,019e8284-70d8-7923-9e26-90d49fe34214,live_item_019e8284-a19f-7cae-95a8-9799ae0e0c6e,layoutStatus|capacity|dimensions|floors|stage|officialSite
venue_tokyo_dome_city_hall,TOKYO DOME CITY HALL,hall,partially_verified,verified,yes,https://www.tokyo-dome.co.jp/tdc-hall/,〒112-8575 東京都文京区後楽1-3-61,019e8284-7c76-7696-a0b5-ce0f4f776156,live_item_019e8284-c0e9-7551-aec4-a75ac40dfd28,layoutStatus|dimensions|floors|stage
venue_tsutaya_o_east,TSUTAYA O-EAST,live_house,needs_verification,needs_verification,yes,https://shibuya-o.com/east/?utm_source=business-profile&utm_medium=listing,〒150-0043 東京都渋谷区道玄坂２丁目１４−８,019e8284-6ef0-7b6b-9a0e-18c7b62839c8,live_item_019e8284-98f1-7e5d-89a7-0f5786ec0141,layoutStatus|capacity|dimensions|floors|stage
venue_veats_shibuya,Veats Shibuya,live_house,needs_verification,needs_verification,yes,https://veats.jp/,〒150-0042 東京都渋谷区宇田川町３３−１ グランド東京渋谷ビル,019e8284-74e0-70ed-a033-6668f1643f26,live_item_019e8284-ad1d-7ff6-b55c-0ece6825592d,layoutStatus|capacity|dimensions|floors|stage
venue_yes24_wanderloch_hall,YES24 WANDERLOCH HALL,hall,needs_verification,needs_verification,yes,https://wanderlochhall.imweb.me/,"１２９ Sinchon-ro, Seodaemun-gu, Seoul, 韓国",019e8284-9148-7f4e-b33a-0a731e8b057e,live_item_019e8284-f332-7d51-a5a3-f8a90b94113c,layoutStatus|capacity|dimensions|floors|stage
venue_yogibo_meta_valley,Yogibo META VALLEY,live_house,needs_verification,needs_verification,yes,https://selebro.co.jp/metavalley/,〒556-0011 大阪府大阪市浪速区難波中２丁目１１−１,019e8284-8605-7b52-a298-29ba6fe3856d,live_item_019e8284-dd72-7b0f-a168-892a0ff78b01,layoutStatus|capacity|dimensions|floors|stage
venue_yokohama_bayhall,YOKOHAMA BayHall,hall,needs_verification,needs_verification,yes,https://bayhall.jp/access/,神奈川県横浜市神奈川区金港町1-10,019e8284-9148-7f4e-b33a-0a731e8b057e,live_item_019e8284-eebd-7c61-baa5-d69014b33336,layoutStatus|capacity|dimensions|floors|stage
venue_zepp_divercity_tokyo,Zepp DiverCity (TOKYO),live_house,needs_verification,verified,yes,https://www.zepp.co.jp/hall/divercity/,〒135-0064 東京都江東区青海1-1-10 ダイバーシティ東京プラザ,019e8284-88b1-79fe-846b-112b2ad73457,live_item_019e8284-df9c-7077-9032-3ff96d8ff44d,layoutStatus|dimensions|floors|stage
venue_zepp_divercity,Zepp DiverCity (TOKYO),live_house,needs_verification,verified,yes,https://www.zepp.co.jp/hall/divercity/,〒135-0064 東京都江東区青海1-1-10 ダイバーシティ東京プラザ,019e8284-81fd-70ec-b1ce-109ea8bc6939,live_item_019e8284-d5df-70ab-84d1-89141895c04c,layoutStatus|dimensions|floors|stage
