venueId,name,typeGuess,capacity,capacityKind,seatedCapacity,capacityStatus,verifiedAt,verificationSourceUrls,siteUrl,address,sourceLiveIds
venue_yes24_wanderloch_hall,YES24 WANDERLOCH HALL,hall,,,,needs_web_verification,,,https://wanderlochhall.imweb.me/,"１２９ Sinchon-ro, Seodaemun-gu, Seoul, 韓国",72
venue_yogibo_meta_valley,Yogibo META VALLEY,live_house,,,,needs_web_verification,,,https://selebro.co.jp/metavalley/,〒556-0011 大阪府大阪市浪速区難波中２丁目１１−１,57
venue_yokohama_bayhall,YOKOHAMA BayHall,hall,,,,needs_web_verification,,,https://bayhall.jp/access/,神奈川県横浜市神奈川区金港町1-10,72
venue_zepp_divercity_tokyo,Zepp DiverCity (TOKYO),live_house,2473,standing,1102,verified,2026-05-17,https://www.zepp.co.jp/hall/divercity/,https://www.zepp.co.jp/hall/divercity/,〒135-0064 東京都江東区青海1-1-10 ダイバーシティ東京プラザ,60
venue_zepp_divercity,Zepp DiverCity (TOKYO),live_house,2473,standing,1102,verified,2026-05-17,https://www.zepp.co.jp/hall/divercity/,https://www.zepp.co.jp/hall/divercity/,〒135-0064 東京都江東区青海1-1-10 ダイバーシティ東京プラザ,48
venue_zepp_fukuoka,Zepp Fukuoka,live_house,1526,standing,669,verified,2026-05-17,https://www.zepp.co.jp/hall/fukuoka/,https://www.zepp.co.jp/hall/fukuoka/,〒810-8639 福岡県福岡市中央区地行浜2-2-1,30|36|46
venue_zepp_haneda,Zepp Haneda (TOKYO),live_house,2925,standing,1207,verified,2026-05-17,https://www.zepp.co.jp/hall/haneda/,https://www.zepp.co.jp/hall/haneda/,〒144-0041 東京都大田区羽田空港1-1-4 HANEDA INNOVATION CITY ZONE H,30
venue_zepp_nagoya,Zepp Nagoya,live_house,1864,standing,741,verified,2026-05-17,https://www.zepp.co.jp/hall/nagoya/,https://www.zepp.co.jp/hall/nagoya/,〒453-0872 愛知県名古屋市中村区平池町4-60-7,30|36|46|60
venue_zeep_namba,Zepp Namba (OSAKA),live_house,2513,standing,1206,verified,2026-05-17,https://www.zepp.co.jp/hall/namba/,https://www.zepp.co.jp/hall/namba/,〒556-0012 大阪府大阪市浪速区敷津東2-1-39,66
venue_zepp_namba,Zepp Namba (OSAKA),live_house,2513,standing,1206,verified,2026-05-17,https://www.zepp.co.jp/hall/namba/,https://www.zepp.co.jp/hall/namba/,〒556-0012 大阪府大阪市浪速区敷津東2-1-39,11
venue_zepp_new_taipei,Zepp New Taipei,live_house,2245,standing,1025,verified,2026-05-17,https://www.zepp.co.jp/hall/newtaipei/,https://www.zepp.co.jp/hall/newtaipei/,新北市新莊區新北大道四段3號8樓【宏匯廣場】,49|72
venue_zepp_osaka_bayside,Zepp Osaka Bayside,live_house,2801,standing,1198,verified,2026-05-17,https://www.zepp.co.jp/hall/osakabayside/,https://www.zepp.co.jp/hall/osakabayside/,〒554-0031 大阪府大阪市此花区桜島1-1-61,30|36|60
venue_zepp_tokyo,Zepp Tokyo,live_house,,,,needs_web_verification,,,https://www.zepp.co.jp/hall/tokyo/,〒135-0064 東京都江東区青海１丁目３−１１,8|14
venue_オリックス劇場,オリックス劇場,hall,2400,seated,,verified,2026-05-17,https://www.orixtheater.jp/information/guide/,https://www.orixtheater.jp/,〒550-0013 大阪府大阪市西区新町1丁目14番15号,72
venue_ト_クネットホ_ル仙台,トークネットホール仙台,hall,,,,needs_web_verification,,,https://sendai.pia-pit.jp/access/index.html,宮城県仙台市青葉区中央2-7-11,72
venue_なんばhatch,なんばHatch,live_house,1931,max,,verified,2026-05-17,https://www.oud.co.jp/riverplace/about/namba-hatch.html,https://www.namba-hatch.com/,〒556-0017 大阪府大阪市浪速区湊町1丁目3-1,8|13|14|22|56
venue_ぴあアリ_ナmm,ぴあアリーナMM,arena,12141,standing,10057,verified,2026-05-17,https://pia-arena-mm.jp/assets/images/facility_summary.pdf,https://pia-arena-mm.jp/,〒220-0012 神奈川県横浜市西区みなとみらい3-2-2,29
venue_フェスティバルホ_ル,フェスティバルホール,hall,2700,seated,,verified,2026-05-17,https://www.festivalhall.jp/about/,https://www.festivalhall.jp/,〒530-0005 大阪府大阪市北区中之島2丁目3-18,46
venue_フェニ_チェ堺,フェニーチェ堺,hall,,,,needs_web_verification,,,https://www.fenice-sacay.jp/,〒590-0061 大阪府堺市堺区翁橋町２丁１−１,28
venue_まつもと市民芸術館,まつもと市民芸術館,hall,,,,needs_web_verification,,,https://www.mpac.jp/,〒390-0815 長野県松本市深志３丁目１０−１,36
venue_みちのく公園_北地区,みちのく公園 北地区,outdoor_festival,,,,needs_web_verification,,,,〒989-1503 宮城県柴田郡川崎町川内藤折,37
venue_旭川casino_drive,旭川CASINO DRIVE,live_house,300,standing,,verified,2026-05-17,https://www.casinodrive.info/,https://www.casinodrive.info/,〒070-0034 北海道旭川市4条通8丁目1703-5 アピスホール4階,72
venue_横浜アリ_ナ,横浜アリーナ,arena,17000,max,,verified,2026-05-17,https://www.yokohama-arena.co.jp/organizer/equipment/,https://www.yokohama-arena.co.jp/,〒222-0033 神奈川県横浜市港北区新横浜3丁目10番地,34|69
venue_岡山_crazymama_kingdom,岡山 CRAZYMAMA KINGDOM,live_house,,,,needs_web_verification,,,http://banquetunion.com/kingdom/,〒700-0836 岡山県岡山市北区中央町６−２２ 中央町ヒルズ 4F,46
venue_岡谷鋼機名古屋公会堂,岡谷鋼機名古屋公会堂,hall,,,,needs_web_verification,,,https://nagoyashi-kokaido.hall-info.jp/access/,愛知県名古屋市昭和区鶴舞1-1-3,72
venue_海とのふれあい広場,海とのふれあい広場,outdoor_festival,,,,needs_web_verification,,,http://www.city.sakai.lg.jp/shisei/toshi/rinkai/umifureai/,〒590-0908 大阪府堺市堺区匠町６−１,39
venue_岐阜club_g,岐阜Club-G,live_house,,,,needs_web_verification,,,https://club-g.jp/access.html,岐阜県岐阜市玉宮町2-5,72
venue_金沢_エイトホ_ル,金沢 エイトホール,hall,,,,needs_web_verification,,,http://www.eighthall.com/,〒920-0981 石川県金沢市片町１丁目６−１０ ブラザービル 2F,46
venue_熊本b_9_v1,熊本B.9 V1,live_house,,,,needs_web_verification,,,http://www.live-drum.com/be9/index1.shtml,熊本県熊本市城東町5-13,72
venue_原宿_astro_hall,原宿 ASTRO HALL,hall,,,,needs_web_verification,,,https://ja.wikipedia.org/wiki/%E5%8E%9F%E5%AE%BF%E3%82%A2%E3%82%B9%E3%83%88%E3%83%AD%E3%83%9B%E3%83%BC%E3%83%AB,〒150-0001 東京都渋谷区神宮前4丁目32-12 ニューウェイヴ原宿地下1階,1
venue_広島クラブクアトロ,広島クラブクアトロ,live_house,,,,needs_web_verification,,,https://www.club-quattro.com/,〒730-0035 広島県広島市中区本通１０−１,22|36|46
